Windgeschwindigkeit;Windrichtung;Temperatur;relative Feuchte;Niederschlag;Luftdruck;Strahlung
0.0;270;22.2;75.2;0.0;1007.8;2.5
0.6;191;22.2;75.1;0.0;1007.8;2.5
0.9;202;22.2;75.2;0.0;1007.8;2.4
1.3;225;22.3;75.1;0.0;1007.8;2.7
1.3;202;22.3;74.9;0.0;1007.8;2.7
1.2;225;22.3;74.7;0.0;1007.8;2.8
0.9;191;22.3;74.6;0.0;1007.8;2.8
1.8;202;22.4;74.6;0.0;1007.8;2.7
1.7;191;22.4;74.4;0.0;1007.8;2.7
1.3;202;22.4;74.4;0.0;1007.9;2.7
0.8;225;22.4;74.4;0.0;1007.9;2.7
0.9;225;22.4;74.4;0.0;1007.9;2.7
1.0;157;22.4;74.3;0.0;1007.9;2.7
1.0;202;22.4;74.4;0.0;1007.9;2.7
1.0;168;22.4;74.5;0.0;1007.9;2.5
1.3;180;22.4;74.4;0.0;1007.8;2.5
1.2;157;22.4;74.4;0.0;1007.9;2.5
1.1;180;22.4;74.5;0.0;1007.8;2.4
1.0;191;22.4;74.6;0.0;1007.9;2.4
0.6;168;22.4;74.7;0.0;1007.8;2.5
1.0;236;22.4;74.8;0.0;1007.9;2.4
0.8;180;22.3;74.8;0.0;1007.9;2.4
0.8;168;22.3;74.9;0.0;1007.9;2.4
1.0;225;22.3;75.0;0.0;1007.9;2.5
0.8;180;22.3;75.0;0.0;1007.8;2.4
0.6;202;22.3;75.1;0.0;1007.9;2.4
0.0;67;22.3;75.0;0.0;1007.8;2.3
0.8;225;22.3;75.2;0.0;1007.9;2.4
0.8;213;22.3;75.2;0.0;1007.8;2.5
1.0;236;22.2;75.3;0.0;1007.9;2.5
1.4;247;22.2;75.4;0.0;1007.9;2.5
1.0;225;22.2;75.3;0.0;1007.9;2.7
0.6;247;22.2;75.3;0.0;1007.9;2.5
0.9;247;22.2;75.4;0.0;1007.9;2.7
0.9;270;22.2;75.4;0.0;1007.9;2.5
